Name	Fraction	Experiment
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D01-2	22	AgDAF2D01
20111121_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D01-3	23	AgDAF2D01
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D01-4	24	AgDAF2D01
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D01-5	25	AgDAF2D01
20111121_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D06-1	21	AgDAF2D06
20111121_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D06-2	22	AgDAF2D06
20111121_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D06-3	23	AgDAF2D06
20111121_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D06-4	24	AgDAF2D06
20111121_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D06-5	25	AgDAF2D06
20131008_Elite1_DiWa_SA_Celegans_Aggregates_DAF2Repeat_D12#1-1rerun	21	AgDAF2D12
20131008_Elite1_DiWa_SA_Celegans_Aggregates_DAF2Repeat_D12#1-2rerun	22	AgDAF2D12
20131008_Elite1_DiWa_SA_Celegans_Aggregates_DAF2Repeat_D12#1-3rerun	23	AgDAF2D12
20131008_Elite1_DiWa_SA_Celegans_Aggregates_DAF2Repeat_D12#1-4rerun	24	AgDAF2D12
20131008_Elite1_DiWa_SA_Celegans_Aggregates_DAF2Repeat_D12#1-5rerun	25	AgDAF2D12
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D17-1	21	AgDAF2D17
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D17-2	22	AgDAF2D17
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D17-3	23	AgDAF2D17
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D17-4	24	AgDAF2D17
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D17-5	25	AgDAF2D17
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D22-1	21	AgDAF2D22
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D22-2	22	AgDAF2D22
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D22-3	23	AgDAF2D22
